rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,-0.3851369773267982,0.0,-0.38490980256939206,0.0,3963.5726969242096,0.0,4.509263277053833,0.0,0.001,{'model__learning_rate_init': 0.001},-0.3851369773267982,-0.38490980256939206
2,-0.4542934763646046,0.0,-0.45414086215367283,0.0,6701.923644542694,0.0,24.874924421310425,0.0,0.01,{'model__learning_rate_init': 0.01},-0.4542934763646046,-0.45414086215367283
3,-0.6660184196798311,0.0,-0.6653400380688068,0.0,7685.18080997467,0.0,22.01500940322876,0.0,0.1,{'model__learning_rate_init': 0.1},-0.6660184196798311,-0.6653400380688068
